danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,audio_features,28kuAL029d170iNXqaWS3A,spotify:track:28kuAL029d170iNXqaWS3A,https://api.spotify.com/v1/tracks/28kuAL029d170iNXqaWS3A,https://api.spotify.com/v1/audio-analysis/28kuAL029d170iNXqaWS3A,463067,4
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
