danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Clusters
0.294,0.375,6,-10.167,0,0.0445,0.458,0.0117,0.096,0.264,59.546,229286,4,3
0.741,0.495,8,-9.714,1,0.197,0.0708,9.43e-05,0.066,0.41,122.104,283079,4,10
0.864,0.436,10,-8.023,0,0.0369,0.0253,4.9e-06,0.074,0.189,97.977,182847,4,7
0.786,0.183,5,-9.898,0,0.2,0.913,0.000122,0.147,0.691,91.011,140117,4,3
0.423,0.363,10,-13.813,0,0.0581,0.451,1.72e-05,0.128,0.312,74.009,225405,4,3
0.675,0.386,11,-9.524,0,0.119,0.151,0.0148,0.113,0.336,135.954,219488,4,7
0.822,0.48,5,-8.529,1,0.0499,0.0213,0.546,0.0723,0.782,90.002,239000,4,1
0.647,0.226,5,-12.495,0,0.04,0.748,0.0136,0.119,0.612,180.303,191987,3,6
0.614,0.55,2,-6.493,0,0.0376,0.208,0.000156,0.0412,0.493,154.624,298251,4,5
0.492,0.428,1,-9.595,0,0.204,0.731,0.00193,0.0918,0.326,98.511,184889,3,6
0.794,0.424,2,-8.614,0,0.229,0.677,0.000594,0.314,0.748,100.084,202368,4,10
0.644,0.263,8,-10.555,1,0.0781,0.345,0.000267,0.0898,0.242,69.015,231685,4,3
0.819,0.515,2,-6.417,0,0.156,0.534,0.00238,0.108,0.356,90.019,195933,4,5
0.848,0.482,11,-7.028,1,0.0615,0.00535,0.000464,0.109,0.883,145.016,187056,4,1
0.539,0.734,5,-5.798,0,0.18,0.109,3.4e-06,0.198,0.934,81.163,212917,4,5
0.862,0.572,11,-9.934,0,0.0911,0.383,0.00178,0.108,0.293,90.031,166000,4,7
0.9,0.131,5,-11.378,1,0.0409,0.172,0.00363,0.0877,0.336,137.302,285321,3,6
0.561,0.481,3,-6.405,0,0.0593,0.584,6.62e-06,0.125,0.439,106.431,219987,3,6
0.588,0.41,8,-9.464,1,0.0844,0.335,6.48e-06,0.188,0.488,119.727,264015,3,6
0.779,0.541,5,-4.483,1,0.084,0.404,0.00284,0.348,0.42,90.017,186667,4,1
0.466,0.395,0,-8.641,1,0.0455,0.233,3.34e-05,0.13,0.225,77.323,284044,4,3
0.68,0.471,7,-10.056,1,0.199,0.25,0.0126,0.0986,0.281,93.096,276333,4,3
0.774,0.649,9,-7.648,0,0.0633,0.441,0.00724,0.0976,0.698,134.086,218057,4,7
0.925,0.598,6,-8.764,0,0.374,0.205,0.0,0.105,0.795,125.984,143000,4,10
0.729,0.621,9,-9.651,0,0.109,0.151,0.862,0.109,0.616,76.459,151500,4,9
0.922,0.428,10,-10.943,0,0.571,0.106,0.0,0.111,0.227,137.961,153056,4,10
0.737,0.53,5,-12.121,1,0.226,0.0322,4.33e-06,0.356,0.733,150.074,131082,4,10
0.792,0.461,8,-10.026,1,0.0843,0.495,0.0181,0.107,0.441,100.469,152836,4,1
0.846,0.398,8,-8.951,1,0.304,0.576,6.94e-06,0.139,0.628,118.241,146131,4,10
0.79,0.412,11,-13.115,0,0.322,0.136,0.0151,0.166,0.532,125.08,165120,4,10
0.672,0.484,11,-10.615,0,0.361,0.577,8.16e-06,0.101,0.256,172.105,146000,4,10
0.832,0.421,1,-10.563,1,0.3,0.0544,3.49e-05,0.115,0.183,75.065,155520,4,10
0.97,0.334,9,-12.563,1,0.258,0.0823,6.29e-05,0.11,0.0835,120.023,168072,4,10
0.725,0.602,9,-6.04,0,0.161,0.128,0.0,0.108,0.584,142.976,194805,4,7
0.939,0.4,0,-8.821,1,0.22,0.00864,0.0347,0.0756,0.342,139.986,130893,4,10
0.753,0.735,2,-6.687,1,0.391,0.101,0.0,0.357,0.714,141.982,167324,4,10
0.834,0.505,1,-7.497,1,0.0601,0.0292,0.024,0.111,0.245,107.979,143249,5,8
0.832,0.659,1,-4.975,1,0.156,0.285,0.0,0.163,0.717,93.526,244423,4,8
0.638,0.588,0,-8.074,1,0.0376,0.00211,1.42e-05,0.363,0.111,137.91,197201,4,8
0.886,0.467,0,-10.443,1,0.705,0.259,1.01e-06,0.277,0.529,143.092,123341,4,10
0.746,0.433,8,-10.816,0,0.401,0.112,0.00743,0.108,0.304,159.957,135000,4,10
0.849,0.515,2,-9.237,1,0.145,0.159,0.000565,0.0856,0.529,123.03,143000,4,8
0.589,0.64,1,-10.216,1,0.491,0.148,0.0036,0.381,0.299,90.864,175813,4,10
0.785,0.678,7,-9.43,0,0.138,0.73,0.0,0.134,0.939,143.92,146573,4,7
0.931,0.456,10,-12.727,0,0.258,0.189,0.0,0.104,0.48,130.053,150091,4,10
0.866,0.64,6,-6.195,0,0.413,0.000697,0.000114,0.702,0.636,142.04,189307,4,10
0.773,0.674,0,-5.233,1,0.312,0.0581,0.0,0.233,0.704,161.087,193618,4,10
0.771,0.689,1,-7.223,1,0.377,0.0972,0.0,0.157,0.318,80.057,110547,4,10
0.788,0.457,8,-9.457,1,0.273,0.0172,0.00112,0.112,0.199,152.974,125861,4,10
0.872,0.537,8,-9.79,1,0.507,0.361,1.48e-06,0.119,0.632,159.1,171688,4,10
0.828,0.324,0,-12.173,0,0.351,0.0158,0.00101,0.107,0.25,130.068,149591,4,10
0.722,0.401,9,-12.02,0,0.681,0.222,0.0,0.0842,0.199,139.033,75871,4,10
0.777,0.34,10,-11.292,1,0.602,0.0696,1.43e-06,0.0706,0.148,101.956,66750,4,10
0.858,0.365,11,-9.421,0,0.202,0.132,0.000184,0.107,0.473,132.997,252632,4,7
0.797,0.445,8,-8.92,0,0.217,0.516,0.0142,0.0962,0.343,99.989,196800,4,10
0.889,0.617,1,-3.588,1,0.14,0.00242,0.0,0.0926,0.292,77.994,110795,4,8
0.704,0.663,1,-8.154,1,0.395,0.292,0.0,0.196,0.35,149.048,224331,4,10
0.871,0.615,4,-9.496,0,0.27,0.0169,0.0,0.183,0.802,140.028,125000,4,10
0.854,0.577,10,-10.646,0,0.0829,0.0174,0.0022,0.111,0.34,140.963,149790,4,7
0.593,0.183,4,-20.846,1,0.396,0.842,0.386,0.11,0.327,129.712,147352,4,10
0.679,0.904,8,-6.168,1,0.0589,0.0318,0.0,0.115,0.642,80.015,120000,4,1
0.661,0.736,9,-6.876,1,0.287,0.065,0.0,0.124,0.652,91.917,224348,4,10
0.669,0.665,0,-9.698,0,0.0499,0.237,0.415,0.0655,0.323,81.989,380488,4,5
0.935,0.434,1,-8.933,1,0.144,0.0481,0.000283,0.107,0.367,135.067,118747,4,8
0.94,0.237,5,-11.014,0,0.528,0.112,3.94e-06,0.109,0.587,134.982,114451,4,10
0.819,0.457,8,-9.949,0,0.217,0.0459,0.0,0.126,0.368,133.959,128955,4,10
0.808,0.544,2,-8.473,1,0.299,0.0424,2.11e-06,0.162,0.411,140.081,140571,4,10
0.685,0.497,1,-7.999,1,0.0384,0.000646,0.00011,0.345,0.0392,120.982,171982,4,8
0.788,0.603,5,-6.959,0,0.1,0.00439,0.000232,0.144,0.216,142.943,181440,4,7
0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,172933,4,10
0.777,0.713,0,-7.481,1,0.288,0.0832,1.38e-06,0.545,0.385,129.964,155077,4,10
0.847,0.58,9,-7.523,1,0.319,0.0768,1.22e-06,0.133,0.381,140.078,113216,1,6
0.782,0.568,1,-10.046,1,0.567,0.301,3.92e-06,0.0987,0.507,152.03,160296,4,10
